sub,group,phase,SCR
56,Imagined,Late_Ext,-0.000967939
57,Imagined,Late_Ext,0.002812055
58,Imagined,Late_Ext,-0.061964463
59,Imagined,Late_Ext,0.009165694
60,Imagined,Late_Ext,0.082067417
61,Imagined,Late_Ext,0.014892618
62,Imagined,Late_Ext,-0.096795387
63,Imagined,Late_Ext,-0.006270861
64,Imagined,Late_Ext,-0.001821297
65,Imagined,Late_Ext,-0.005774691
66,Imagined,Late_Ext,-0.000516342
1,None,Early_Reext,0.006961053
2,None,Early_Reext,0.024760398
3,None,Early_Reext,0.045359789
4,None,Early_Reext,0.014629049
5,None,Early_Reext,0.059359961
6,None,Early_Reext,0.027000907
7,None,Early_Reext,0.084232962
8,None,Early_Reext,0.044326872
9,None,Early_Reext,-0.042718533
10,None,Early_Reext,-0.087923541
11,None,Early_Reext,0.010572147
12,None,Early_Reext,0.008410298
13,None,Early_Reext,0.101369937
14,None,Early_Reext,0.024246899
15,None,Early_Reext,0.049356131
16,None,Early_Reext,0.020157563
17,None,Early_Reext,0.101322504
18,None,Early_Reext,0.067145666
19,None,Early_Reext,-0.007024677
20,None,Early_Reext,0.00379326
21,None,Early_Reext,-0.004335569
22,None,Early_Reext,0.143530617
23,None,Early_Reext,-0.004186848
24,None,Early_Reext,-0.00158876
25,Standard,Early_Reext,0.003580967
26,Standard,Early_Reext,0.095660361
27,Standard,Early_Reext,0.179573393
28,Standard,Early_Reext,0.008013218
29,Standard,Early_Reext,-0.0133736
30,Standard,Early_Reext,-0.057289701
31,Standard,Early_Reext,0.015900094
32,Standard,Early_Reext,0.000108812
33,Standard,Early_Reext,0.018068151
34,Standard,Early_Reext,0.048781849
35,Standard,Early_Reext,0.005422916
36,Standard,Early_Reext,0.014529614
37,Standard,Early_Reext,-0.069117447
38,Standard,Early_Reext,-0.011858031
39,Standard,Early_Reext,0.021944682
40,Standard,Early_Reext,0.006469952
41,Standard,Early_Reext,0.004665621
42,Standard,Early_Reext,-0.002251067
43,Standard,Early_Reext,0.028567351
44,Standard,Early_Reext,-0.003179085
45,Standard,Early_Reext,0.026382749
46,Standard,Early_Reext,0.148360417
47,Imagined,Early_Reext,0.215913997
48,Imagined,Early_Reext,0.048696199
49,Imagined,Early_Reext,0.013221787
50,Imagined,Early_Reext,-0.091273138
51,Imagined,Early_Reext,0.037541312
52,Imagined,Early_Reext,0.024330262
53,Imagined,Early_Reext,0.000744132
54,Imagined,Early_Reext,0.010795867
55,Imagined,Early_Reext,0.130773496
56,Imagined,Early_Reext,-0.000453365
57,Imagined,Early_Reext,-0.0270664
58,Imagined,Early_Reext,0.195899176
59,Imagined,Early_Reext,0.018411697
60,Imagined,Early_Reext,0.037932589
61,Imagined,Early_Reext,-0.007560841
62,Imagined,Early_Reext,0.006859843
63,Imagined,Early_Reext,0.200414119
64,Imagined,Early_Reext,0.012410275
65,Imagined,Early_Reext,0.001742524
66,Imagined,Early_Reext,0.038024357
1,None,Late_Reext,0.019976429
2,None,Late_Reext,-0.001802481
3,None,Late_Reext,0.015236287
4,None,Late_Reext,0.004927339
5,None,Late_Reext,-0.036935864
6,None,Late_Reext,-0.034625349
7,None,Late_Reext,0.161732154
8,None,Late_Reext,0.022431591
9,None,Late_Reext,0.003879464
10,None,Late_Reext,0.103442812
11,None,Late_Reext,-0.033679146
12,None,Late_Reext,0.027233633
13,None,Late_Reext,0.011981591
14,None,Late_Reext,0.017222114
15,None,Late_Reext,0.037159418
16,None,Late_Reext,0.002277868
17,None,Late_Reext,0.009072486
18,None,Late_Reext,0.016859949
19,None,Late_Reext,-0.006908986
20,None,Late_Reext,-0.003487718
21,None,Late_Reext,-0.035995924
22,None,Late_Reext,-0.016704874
23,None,Late_Reext,-0.126409792
24,None,Late_Reext,-0.001245425
25,Standard,Late_Reext,0.001691917
26,Standard,Late_Reext,-0.001527116
27,Standard,Late_Reext,0.02622281
28,Standard,Late_Reext,-0.063500967
29,Standard,Late_Reext,0.000607966
30,Standard,Late_Reext,-0.013958104
31,Standard,Late_Reext,-0.001582567
32,Standard,Late_Reext,0.00052081
33,Standard,Late_Reext,0.002013345
34,Standard,Late_Reext,0.095529115
35,Standard,Late_Reext,0.020400436
36,Standard,Late_Reext,0.031752428
37,Standard,Late_Reext,0.057198285
38,Standard,Late_Reext,0.05783576
39,Standard,Late_Reext,0.012841833
40,Standard,Late_Reext,0.008266887
41,Standard,Late_Reext,-0.022795968
42,Standard,Late_Reext,-0.025852796
43,Standard,Late_Reext,-0.028835103
44,Standard,Late_Reext,-0.046186974
45,Standard,Late_Reext,-0.059690912
46,Standard,Late_Reext,-0.098274228
47,Imagined,Late_Reext,0.060129641
48,Imagined,Late_Reext,-0.008243212
49,Imagined,Late_Reext,-0.025133089
50,Imagined,Late_Reext,-8.66466E-05
51,Imagined,Late_Reext,-0.041965398
52,Imagined,Late_Reext,-0.027292078
53,Imagined,Late_Reext,0.001261659
54,Imagined,Late_Reext,0.023086806
55,Imagined,Late_Reext,0.00943211
56,Imagined,Late_Reext,-0.004394339
57,Imagined,Late_Reext,-0.005628764
58,Imagined,Late_Reext,-0.000667668
59,Imagined,Late_Reext,-0.019910956
60,Imagined,Late_Reext,0.035730776
61,Imagined,Late_Reext,0.004220949
62,Imagined,Late_Reext,0.000362586
63,Imagined,Late_Reext,0.009208789
64,Imagined,Late_Reext,0.002926736
65,Imagined,Late_Reext,6.98918E-05
66,Imagined,Late_Reext,-0.090232046
