sub,group,phase,SCR
1,None,Acq,-0.139630372
2,None,Acq,-0.137419079
3,None,Acq,-0.063475871
4,None,Acq,-0.058772665
5,None,Acq,0.004261288
6,None,Acq,0.075334535
7,None,Acq,0.03431173
8,None,Acq,0.023883792
9,None,Acq,0.027645964
10,None,Acq,0.178126358
11,None,Acq,0.068286877
12,None,Acq,0.031505277
13,None,Acq,0.373900792
14,Standard,Acq,-0.07358163
15,Standard,Acq,-0.012006466
16,Standard,Acq,-0.009218834
17,Standard,Acq,-0.002413345
18,Standard,Acq,0.022809827
19,Standard,Acq,0.052338015
20,Standard,Acq,0.217736728
21,Standard,Acq,0.033007514
22,Standard,Acq,0.057868437
23,Standard,Acq,0.014084686
24,Standard,Acq,0.186766715
25,Standard,Acq,0.099367751
26,Standard,Acq,0.050971342
27,Standard,Acq,0.016257739
28,Standard,Acq,0.36321788
29,Standard,Acq,0.004891282
30,Standard,Acq,0.148663057
31,Imagined,Acq,-0.059999902
32,Imagined,Acq,0.018879787
33,Imagined,Acq,0.060731787
34,Imagined,Acq,0.084840335
35,Imagined,Acq,0.073634965
36,Imagined,Acq,0.104967746
37,Imagined,Acq,0.058353071
38,Imagined,Acq,0.014165147
39,Imagined,Acq,0.316589963
40,Imagined,Acq,0.183653638
41,Imagined,Acq,0.039805144
42,Imagined,Acq,0.303370398
1,None,Early_Ext,0.005105659
2,None,Early_Ext,-0.009692729
3,None,Early_Ext,0.032212063
4,None,Early_Ext,-0.016869715
5,None,Early_Ext,0.009776388
6,None,Early_Ext,-0.08168947
7,None,Early_Ext,0.000176672
8,None,Early_Ext,0.002304274
9,None,Early_Ext,-0.022823722
10,None,Early_Ext,-0.031561293
11,None,Early_Ext,0.008831435
12,None,Early_Ext,-0.031183918
13,None,Early_Ext,0.033675942
14,Standard,Early_Ext,0.001681286
15,Standard,Early_Ext,0.004496817
16,Standard,Early_Ext,-0.028991596
17,Standard,Early_Ext,-0.008826216
18,Standard,Early_Ext,0.029062037
19,Standard,Early_Ext,0.0018315
20,Standard,Early_Ext,0.018291659
21,Standard,Early_Ext,-0.033883799
22,Standard,Early_Ext,0.001441886
23,Standard,Early_Ext,-0.040189541
24,Standard,Early_Ext,0.066853372
25,Standard,Early_Ext,-0.017214437
26,Standard,Early_Ext,-0.008942132
27,Standard,Early_Ext,0.032076443
28,Standard,Early_Ext,0.08972894
29,Standard,Early_Ext,-0.0001356
30,Standard,Early_Ext,0.168074613
31,Imagined,Early_Ext,-0.070931785
32,Imagined,Early_Ext,-0.03200707
33,Imagined,Early_Ext,-0.0049862
34,Imagined,Early_Ext,-0.077089779
35,Imagined,Early_Ext,-0.034935346
36,Imagined,Early_Ext,0.145851206
37,Imagined,Early_Ext,-0.051338621
38,Imagined,Early_Ext,-0.023721286
39,Imagined,Early_Ext,-0.038419258
40,Imagined,Early_Ext,-0.01405655
41,Imagined,Early_Ext,-0.085581503
42,Imagined,Early_Ext,-0.100596309
1,None,Late_Ext,0.002847401
2,None,Late_Ext,-0.003395024
3,None,Late_Ext,-0.034061507
4,None,Late_Ext,0.039014662
5,None,Late_Ext,-0.003190151
6,None,Late_Ext,-0.008569403
7,None,Late_Ext,-0.164905972
8,None,Late_Ext,0.071473972
9,None,Late_Ext,-0.057267908
10,None,Late_Ext,-0.002293745
11,None,Late_Ext,-0.003436334
12,None,Late_Ext,0.005798024
13,None,Late_Ext,-0.021348505
14,Standard,Late_Ext,0.000414246
15,Standard,Late_Ext,-0.076210049
16,Standard,Late_Ext,-0.085871281
17,Standard,Late_Ext,0.002390948
18,Standard,Late_Ext,-0.037430316
19,Standard,Late_Ext,0.005529334
